مسار الملف,المجلد الرئيسي,الحالة,ملاحظة
rathena-master/npc/pre-re/jobs/1-1/mage.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/jobs/1-1/merchant.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/jobs/1-1/swordman.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/jobs/1-1/thief.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/jobs/1-1e/taekwon.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/jobs/2-2/crusader.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/jobs/novice/novice.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/kafras/kafras.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mapflag/gvg.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mapflag/hidemobhpbar.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mapflag/invincible_time.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mapflag/nosave.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/merchants/ammo_boxes.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/merchants/ammo_dealer.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/merchants/hair_dyer.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/merchants/hair_style.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/merchants/shops.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/merchants/socket_enchant2.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/citycleaners.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/abbey.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/abyss.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/alde_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/ama_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/anthell.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/ayo_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/beach_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/bra_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/c_tower.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/ein_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/gef_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/gefenia.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/glastheim.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/gld_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/gld_dunSE.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/gon_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/ice_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/in_sphinx.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/iz_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/juperos.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/kh_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/lhz_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/lou_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/mag_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/mjo_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/moc_pryd.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/mosk_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/nyd_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/odin.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/orcsdun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/pay_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/prt_maze.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/prt_sew.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/ra_san.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/tha_t.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/thor_v.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/treasure.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/tur_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/um_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/xmas_dun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/dungeons/yggdrasil.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/amatsu.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/ayothaya.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/brasilis.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/comodo.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/einbroch.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/geffen.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/gonryun.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/hugel.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/lighthalzen.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/louyang.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/lutie.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/manuk.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/mjolnir.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/morocc.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/moscovia.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/niflheim.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/payon.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/prontera.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/rachel.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/splendide.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/umbala.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/veins.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/mobs/fields/yuno.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/other/bulletin_boards.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/other/mercenary_rent.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/other/msg_boards.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/other/pvp.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/other/resetskill.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/other/turbo_track.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_alligator.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_caramel.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_coco.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_creamy.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_demonpungus.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_disguiseloliruri.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_dokebi.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_dryad.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_fabre.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_frilldora.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_goat.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_golem.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_hode.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_leafcat.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_mantis.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_pecopeco.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_pupa.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/collection/quest_zhupolong.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/cooking_quest.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/first_class/tu_archer.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/monstertamers.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/mrsmile.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/quest_payon.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/quests_13_1.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/quests_izlude.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/quests_lighthalzen.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/quests_morocc.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/quests_nameless.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/quests_niflheim.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/quests_veins.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/seals/brisingamen_seal.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/seals/megingard_seal.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/skills/swordman_skills.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/quests/the_sign_quest.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/cities/alberta.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/cities/einbroch.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/cities/izlude.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/cities/prontera.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/cities/rachel.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/cities/yggdrasil.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/fields/com_fild.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/fields/geffen_fild.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/fields/hugel_fild.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/fields/morroc_fild.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/fields/payon_fild.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/fields/prontera_fild.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/fields/rachel_fild.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/fields/veins_fild.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/fields/yuno_fild.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/guildcastles.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/other/arena.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/pre-re/warps/other/sign.txt,pre-re,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/alberta.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/aldebaran.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/amatsu.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/ayothaya.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/brasilis.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/comodo.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/einbech.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/einbroch.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/geffen.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/gonryun.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/hugel.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/lighthalzen.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/louyang.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/lutie.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/manuk.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/mid_camp.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/morroc.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/moscovia.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/nameless.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/niflheim.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/payon.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/prontera.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/splendide.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/umbala.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/veins.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/cities/yuno.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/dungeons/abbey.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
rathena-master/npc/warps/dungeons/abyss.txt,warps,لم تبدأ,لم تدخل بعد في المراجعة الحوارية العميقة
