المرحلة,القسم,النطاق,الملفات الأساسية,ملفات المزامنة,الحالة,عدد التعديلات,مجلد التقرير
29,المهام,مهام أماتسو,rathena-master/npc/quests/quests_amatsu.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua,مكتمل,799,المرحلة_29
30,المهام,مهام كونلون,rathena-master/npc/quests/quests_gonryun.txt,rathena-master/npc/cities/gonryun.txt | System/LuaFiles514/itemInfo.lua,مكتمل,964,المرحلة_30
31,المهام,مهام هويغل,rathena-master/npc/quests/quests_hugel.txt,System/OngoingQuestInfoList_True_EN.lub | System/Navi_Data_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,809,المرحلة_31
32,المهام,مهام إزلود,rathena-master/npc/quests/quests_izlude.txt,,مكتمل,29,المرحلة_32
33,المهام,مهام جوبييروس,rathena-master/npc/quests/quests_juperos.txt,System/OngoingQuestInfoList_True_EN.lub | System/mapInfo_true_EN.lub | System/Navi_Data_EN.lub | data/luafiles514/lua files/worldviewdata/worldviewdata_language.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub | data/book/11011.txt,مكتمل,1106,المرحلة_33
34,المهام,مهام لايت هالزن,rathena-master/npc/quests/quests_lighthalzen.txt,System/OngoingQuestInfoList_True_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,581,المرحلة_34
35,المهام,مهام لويانغ,rathena-master/npc/quests/quests_louyang.txt,System/OngoingQuestInfoList_True_EN.lub | System/Navi_Data_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,662,المرحلة_35
36,المهام,مهام أيوثايا,rathena-master/npc/quests/quests_ayothaya.txt,System/OngoingQuestInfoList_True_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub | System/LuaFiles514/itemInfo.lua,مكتمل,306,المرحلة_36
37,المهام,مهام برازيليس,rathena-master/npc/quests/quests_brasilis.txt,System/OngoingQuestInfoList_True_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub | System/Navi_Data_EN.lub | System/LuaFiles514/itemInfo.lua,مكتمل,306,المرحلة_37
38,المهام,مهام كومودو,rathena-master/npc/quests/quests_comodo.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub | System/LuaFiles514/itemInfo.lua,مكتمل,371,المرحلة_38
39,المهام,مهام إينبروخ وإينبيخ,rathena-master/npc/quests/quests_ein.txt,System/OngoingQuestInfoList_True_EN.lub | System/Navi_Data_EN.lub | System/mapInfo_true_EN.lub | System/achievement_list_EN.lub | data/luafiles514/lua files/msgstring_kr.lub | data/luafiles514/lua files/msgstring_kr_s.lub | data/luafiles514/lua files/navigation/navi_map_krpri.lub | data/luafiles514/lua files/worldviewdata/worldviewdata_language.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub | System/LuaFiles514/itemInfo.lua,مكتمل,933,المرحلة_39
40,المهام,مهام غيفن,rathena-master/npc/quests/quests_geffen.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub | System/LuaFiles514/itemInfo.lua,مكتمل,158,المرحلة_40
41,المهام,مهمة الشاعر المتجول,rathena-master/npc/quests/bard_quest.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,561,المرحلة_41
42,المهام,مهمة عصابة الأرنب,rathena-master/npc/quests/bunnyband.txt,,مكتمل,53,المرحلة_42
43,المهام,مهمة الطبخ,rathena-master/npc/quests/cooking_quest.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,1001,المرحلة_43
44,المهام,مهمة العامل المعادل والمزيج,rathena-master/npc/quests/counteragent_mixture.txt,rathena-master/npc/jobs/2-2/alchemist.txt | System/OngoingQuestInfoList_True_EN.lub | System/Navi_Data_EN.lub,مكتمل,272,المرحلة_44
45,المهام,مهمة طلب دانديليون,rathena-master/npc/quests/dandelion_request.txt,System/OngoingQuestInfoList_True_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub | rathena-master/db/pre-re/mob_db.yml,مكتمل,930,المرحلة_45
46,المهام,مهمة السيوف المشؤومة,rathena-master/npc/quests/doomed_swords.txt,System/LuaFiles514/itemInfo.lua,مكتمل,565,المرحلة_46
47,المهام,مهمة السيوف المشؤومة — الجزء الثالث,rathena-master/npc/quests/doomed_swords_quest.txt,rathena-master/npc/quests/quests_comodo.txt | rathena-master/npc/quests/quests_yuno.txt,مكتمل,570,المرحلة_47
48,المهام,مهمة عين هليون,rathena-master/npc/quests/eye_of_hellion.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua,مكتمل,1074,المرحلة_48
49,المهام,مهمة تدريب المريد,rathena-master/npc/quests/first_class/tu_acolyte.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,732,المرحلة_49
50,المهام,مهمة تدريب الرامي,rathena-master/npc/quests/first_class/tu_archer.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,751,المرحلة_50
51,المهام,مهمة آثار المعركة المشتركة,rathena-master/npc/quests/first_class/tu_ma_th01.txt,rathena-master/npc/quests/first_class/tu_thief01.txt | rathena-master/npc/quests/first_class/tu_magician01.txt | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,509,المرحلة_51
52,المهام,مهمة تدريب الساحر,rathena-master/npc/quests/first_class/tu_magician01.txt,data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,441,المرحلة_52
53,المهام,مهمة تدريب التاجر,rathena-master/npc/quests/first_class/tu_merchant.txt,System/OngoingQuestInfoList_True_EN.lub,مكتمل,307,المرحلة_53
54,المهام,مهمة تدريب السياف,rathena-master/npc/quests/first_class/tu_sword.txt,System/OngoingQuestInfoList_True_EN.lub,مكتمل,383,المرحلة_54
55,المهام,مهمة تدريب اللص,rathena-master/npc/quests/first_class/tu_thief01.txt,,مكتمل,255,المرحلة_55
56,المهام,مهمة اختبار النقابة المتتابع,rathena-master/npc/quests/guildrelay.txt,,مكتمل,209,المرحلة_56
57,المهام,مهام أسلحة رماة المسدسات,rathena-master/npc/quests/gunslinger_quests.txt,,مكتمل,643,المرحلة_57
58,المهام,مهمة صنع العصير,rathena-master/npc/quests/juice_maker.txt,,مكتمل,91,المرحلة_58
59,المهام,مهمة كيل هاير,rathena-master/npc/quests/kiel_hyre_quest.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua,مكتمل,198,المرحلة_59
60,المهام,مهام أسلحة المستوى الرابع,rathena-master/npc/quests/lvl4_weapon_quest.txt,,مكتمل,409,المرحلة_60
61,المهام,بائعا محلولي بايون وموروك,rathena-master/npc/quests/mage_solution.txt,,مكتمل,6,المرحلة_61
62,المهام,مروضو الوحوش وأدوات الترويض,rathena-master/npc/quests/monstertamers.txt,System/OngoingQuestInfoList_True_EN.lub | rathena-master/npc/pre-re/merchants/hair_style.txt,مكتمل,281,المرحلة_62
63,المهام,مهمة السيد مبتسم,rathena-master/npc/quests/mrsmile.txt,System/Navi_Data_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub | rathena-master/npc/pre-re/quests/mrsmile.txt | rathena-master/npc/quests/quests_umbala.txt | rathena-master/npc/quests/newgears/2004_headgears.txt,مكتمل,67,المرحلة_63
64,المهام,مهام قبعات 2004,rathena-master/npc/quests/newgears/2004_headgears.txt,System/Navi_Data_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,420,المرحلة_64
65,المهام,مهام قبعات 2005,rathena-master/npc/quests/newgears/2005_headgears.txt,System/LuaFiles514/itemInfo.lua,مكتمل,894,المرحلة_65
66,المهام,مهام قبعات 2006,rathena-master/npc/quests/newgears/2006_headgears.txt,System/LuaFiles514/itemInfo.lua,مكتمل,515,المرحلة_66
67,المهام,مهام قبعات 2008,rathena-master/npc/quests/newgears/2008_headgears.txt,System/LuaFiles514/itemInfo.lua | System/OngoingQuestInfoList_True_EN.lub,مكتمل,292,المرحلة_67
68,المهام,مهام معدات وأسلحة النينجا,rathena-master/npc/quests/ninja_quests.txt,,مكتمل,389,المرحلة_68
69,المهام,مهمة باندجر ماير والصندوق الأزرق القديم,rathena-master/npc/quests/obb_quest.txt,rathena-master/npc/quests/bard_quest.txt,مكتمل,753,المرحلة_69
70,المهام,مهمة رؤية أوكولنير وصناعة العناصر الإلهية,rathena-master/npc/quests/okolnir.txt,rathena-master/db/pre-re/mob_db.yml | data/luafiles514/lua files/navigation/navi_npc_krpri.lub | System/OngoingQuestInfoList_True_EN.lub | data/luafiles514/lua files/navigation/navi_map_krpri.lub | System/mapInfo_true_EN.lub,مكتمل,322,المرحلة_70
71,المهام,مهمة اختبار المجموعة المتتابع,rathena-master/npc/quests/partyrelay.txt,,مكتمل,1337,المرحلة_71
72,المهام,مهام فراغ الرماد والحملة إلى العالم الجديد,rathena-master/npc/quests/quests_13_1.txt,System/OngoingQuestInfoList_True_EN.lub | rathena-master/npc/quests/quests_13_2.txt | System/LuaFiles514/itemInfo.lua,مكتمل,671,المرحلة_72
73,المهام,مهام القبيلتين وخاتم الملك الحكيم ومعدن ميدغارد وعطر ألفهايم وتحقيق بازيت,rathena-master/npc/quests/quests_13_2.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua | System/Navi_Data_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,798,المرحلة_73
74,المهام,مهام تذكرة المنطاد وآلية عمله وقطعة قلب يمير,rathena-master/npc/quests/quests_airship.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua,مكتمل,830,المرحلة_74
75,المهام,مهام ألبرتا وصناعة القبعات وجزيرة السلاحف وكنزها ومهمة إيرومو,rathena-master/npc/quests/quests_alberta.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua | data/luafiles514/lua files/navigation/navi_npc_krpri.lub | System/Navi_Data_EN.lub,مكتمل,745,المرحلة_75
76,المهام,مهام طوق الطبيب وقبعة الريش وقناع الأوبرا وساكات,rathena-master/npc/quests/quests_aldebaran.txt,System/LuaFiles514/itemInfo.lua,مكتمل,25,المرحلة_76
77,المهام,مهام آلة بيع قبعات لوتي,rathena-master/npc/quests/quests_lutie.txt,—,مكتمل,73,المرحلة_77
78,المهام,مهام موروك وحرس القارة وغراب القدر,rathena-master/npc/quests/quests_morocc.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua | System/Navi_Data_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,630,المرحلة_78
79,المهام,مهام موسكوفيا والجزيرة المتحركة وكوشي الخالد,rathena-master/npc/quests/quests_moscovia.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua | System/Navi_Data_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,644,المرحلة_79
80,المهام,مهام الجزيرة المجهولة والمهام الجانبية وتحقيق نقابة المارقين,rathena-master/npc/quests/quests_nameless.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua | System/Navi_Data_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,274,المرحلة_80
81,المهام,مهام بايون القديمة وصناعة قبعاتها,rathena-master/npc/quests/quests_payon.txt,System/LuaFiles514/itemInfo.lua,مكتمل,82,المرحلة_81
82,المهام,مجاري برونتيرا وقبعة الدكتوراه ولعنة عائلة غيوبورغ,rathena-master/npc/quests/quests_prontera.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua | System/Navi_Data_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,818,المرحلة_82
83,المهام,مهام راشيل والطفل المفقود وكهف الجليد والمعبد والسلام لأرونافلتز,rathena-master/npc/quests/quests_rachel.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua | System/Navi_Data_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,436,المرحلة_83
84,المهام,مهام فينس وأحجارها والجاسوس وطفلي المدينة وقاعدة بركان ثور,rathena-master/npc/quests/quests_veins.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua | System/Navi_Data_EN.lub | data/luafiles514/lua files/navigation/navi_npc_krpri.lub,مكتمل,529,المرحلة_84
85,المهام,إيقاف أبحاث ميتو وتجربة باين وباجين ودليل يونو وبداية السيوف المشؤومة,rathena-master/npc/quests/quests_yuno.txt,System/OngoingQuestInfoList_True_EN.lub | System/Navi_Data_EN.lub,مكتمل,374,المرحلة_85
86,المهام,ختم بريسينغامن وقصة لوين والأقزام الأربعة,rathena-master/npc/quests/seals/brisingamen_seal.txt,System/OngoingQuestInfoList_True_EN.lub,مكتمل,273,المرحلة_86
87,المهام,إدارة متغيرات الأختام الإلهية,rathena-master/npc/quests/seals/god_global.txt,,مكتمل,24,المرحلة_87
88,المهام,صناعة الأدوات الإلهية الأربع لدى غرونبورتي وإدارة مختبر الصناعة,rathena-master/npc/quests/seals/god_weapon_creation.txt,rathena-master/npc/quests/seals/seal_status.txt,مكتمل,246,المرحلة_88
89,المهام,ختم ميغينغجارد والتحقيق في مصير الفرقة الأولى,rathena-master/npc/quests/seals/megingard_seal.txt,System/OngoingQuestInfoList_True_EN.lub,مكتمل,757,المرحلة_89
90,المهام,ختم ميولنير وتيالفي وروسكفا والحدادون الأقزام الأربعة,rathena-master/npc/quests/seals/mjolnir_seal.txt,تحقق دون تعديل: سجل المهام والعناصر والملاحة,مكتمل,371,المرحلة_90
91,المهام,لوحة حالة الأختام الإلهية وحالة التقدم الشخصية,rathena-master/npc/quests/seals/seal_status.txt,تحقق دون تعديل: سجل المهام والعناصر والملاحة,مكتمل,5,المرحلة_91
92,المهام,ختم سليبنير ومختبر يونو والباحثون الأربعة وحكاية لانيا,rathena-master/npc/quests/seals/sleipnir_seal.txt,تحقق دون تعديل: سجل المهام والعناصر والملاحة,مكتمل,378,المرحلة_92
93,المهام,مهمة تعلم مهارة ضوء مقدس للمريد,rathena-master/npc/quests/skills/acolyte_skills.txt,تحقق دون تعديل: قاموس المهارات والعناصر وسجل المهام والملاحة,مكتمل,48,المرحلة_93
94,المهام,مهمتا دليل صنع الجرعات العنصرية والأخلاقيات الحيوية للهومنكولوس,rathena-master/npc/quests/skills/alchemist_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,182,المرحلة_94
95,المهام,مهمتا صناعة السهام وسهم شاحن للرماة,rathena-master/npc/quests/skills/archer_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,126,المرحلة_95
96,المهام,مهمتا رمي سكين السم وتسارع صوتي للمغتال,rathena-master/npc/quests/skills/assassin_skills.txt,System/OngoingQuestInfoList_True_EN.lub,مكتمل,464,المرحلة_96
97,المهام,مهمة تعلم صوت بانغ ومطاردة الدجاجة ييل,rathena-master/npc/quests/skills/bard_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,585,المرحلة_97
98,المهام,مهمتا خدعة غير عادلة وجشع للحداد,rathena-master/npc/quests/skills/blacksmith_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,306,المرحلة_98
99,المهام,مهمة تعلم انكماش وإنقاذ سلوتيي من سم الغوبلن,rathena-master/npc/quests/skills/crusader_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,383,المرحلة_99
100,المهام,مهمة تعلم غمزة ساحرة لدى كانيل وآيل,rathena-master/npc/quests/skills/dancer_skills.txt,System/OngoingQuestInfoList_True_EN.lub,مكتمل,287,المرحلة_100
101,المهام,مهمة تعلم سهم وهمي لدى أربستو وريدين كورس,rathena-master/npc/quests/skills/hunter_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,175,المرحلة_101
102,المهام,مهمة تعلم هجوم شاحن والتحقيق في القسم السابع,rathena-master/npc/quests/skills/knight_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,275,المرحلة_102
103,المهام,مهمة تعلم غلاف الطاقة لدى بليزاردريس,rathena-master/npc/quests/skills/mage_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,68,المرحلة_103
104,المهام,مهمات ضجة مجنونة وتغيير العربة وثورة العربة,rathena-master/npc/quests/skills/merchant_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,359,المرحلة_104
105,المهام,مهمتا نقل كي وانفجار كي للرهبان,rathena-master/npc/quests/skills/monk_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وقاعدة الوحوش وسجل المهام والملاحة,مكتمل,225,المرحلة_105
106,المهام,مهمتا إسعافات أولية والتظاهر بالموت للمبتدئ,rathena-master/npc/quests/skills/novice_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,280,المرحلة_106
107,المهام,مهمة تعلم ريديمبتيو لدى الأخت لينوس,rathena-master/npc/quests/skills/priest_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,182,المرحلة_107
108,المهام,مهمة تعلم حبس محكم وعائلة غريغ,rathena-master/npc/quests/skills/rogue_skills.txt,System/OngoingQuestInfoList_True_EN.lub — 4 تعديلات؛ تحقق بقية الملفات دون تعديل,مكتمل,552,المرحلة_108
109,المهام,مهمتا إنشاء محول عنصري وتغيير العنصر لدى ميشونا,rathena-master/npc/quests/skills/sage_skills.txt,System/OngoingQuestInfoList_True_EN.lub — 11 تعديلا | data/luafiles514/lua files/navigation/navi_npc_krpri.lub — تعديل واحد,مكتمل,256,المرحلة_109
110,المهام,مهمات استعادة HP أثناء الحركة وضربة قاتلة وهياج تلقائي,rathena-master/npc/quests/skills/swordman_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,198,المرحلة_110
111,المهام,مهمات نثر الرمل وانزلاق للخلف والتقاط حجر ورمي حجر,rathena-master/npc/quests/skills/thief_skills.txt,تحقق دون تعديل: قاموس المهارات وقاعدة العناصر وسجل المهام والملاحة,مكتمل,290,المرحلة_111
112,المهام,مهمة مفجر الرؤية ونظرية الدفع إلى الخلف,rathena-master/npc/quests/skills/wizard_skills.txt,System/OngoingQuestInfoList_True_EN.lub,مكتمل,224,المرحلة_112
113,المهام,مهمة برج ثاناتوس: عقد الاستكشاف، مفاتيح البرج، أحجار التعويذة، الأختام، واستدعاء ذكرى ثاناتوس,rathena-master/npc/quests/thana_quest.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua,مكتمل,726,المرحلة_113
114,المهام,مهمة العلامة: الاختبارات، ضوء النجوم الناحب، سيرين وكيركينا، أنغربودا، أختام غيفينيا وفتح البوابة,rathena-master/npc/quests/the_sign_quest.txt,System/OngoingQuestInfoList_True_EN.lub | System/LuaFiles514/itemInfo.lua,مكتمل,664,المرحلة_114
115,المطارات,نظام المناطيد المحلي والدولي وطاقم الرحلات وألعاب المنطاد,rathena-master/npc/airports/airships.txt,تحقق دون تعديل: itemInfo.lua وNavi_Data_EN.lub وnavi_npc_krpri.lub,مكتمل,430,المرحلة_115
116,المطارات,موظفو مطار إينبروخ والوصول والصعود إلى المنطاد,rathena-master/npc/airports/einbroch.txt,rathena-master/npc/airports/airships.txt | تحقق دون تعديل: itemInfo.lua وNavi_Data_EN.lub وnavi_npc_krpri.lub,مكتمل,49,المرحلة_116
117,المطارات,بوابة منطاد هويغل ورسوم الركوب والتذكرة المجانية,rathena-master/npc/airports/hugel.txt,تحقق دون تعديل: itemInfo.lua وNavi_Data_EN.lub وnavi_npc_krpri.lub وairships.txt وملف مدينة هويغل,مكتمل,5,المرحلة_117
118,المطارات,موظف منطاد إزلود والمسار الدولي إلى يونو وراشيل,rathena-master/npc/airports/izlude.txt,تحقق دون تعديل: itemInfo.lua وNavi_Data_EN.lub وnavi_npc_krpri.lub وairships.txt وملف مدينة إزلود,مكتمل,14,المرحلة_118
119,المطارات,موظفو مطار لايت هالزن والوصول والمسار المحلي,rathena-master/npc/airports/lighthalzen.txt,تحقق دون تعديل: itemInfo.lua وNavi_Data_EN.lub وmapInfo_true_EN.lub وairships.txt وملف مدينة لايت هالزن,مكتمل,26,المرحلة_119
120,المطارات,بوابة منطاد راشيل ورسوم الركوب والتذكرة المجانية,rathena-master/npc/airports/rachel.txt,تحقق دون تعديل: itemInfo.lua وNavi_Data_EN.lub وnavi_npc_krpri.lub وairships.txt وملف مدينة راشيل,مكتمل,5,المرحلة_120
121,المطارات,مطار يونو والمساران المحلي والدولي وموظفو الصعود والوصول,rathena-master/npc/airports/yuno.txt,تحقق دون تعديل: itemInfo.lua وNavi_Data_EN.lub وmapInfo_true_EN.lub وnavi_npc_krpri.lub وairships.txt وملف مدينة يونو,مكتمل,59,المرحلة_121
122,ساحات القتال,الشخصيات والخدمات المشتركة لساحات قتال مارول واستبدال الشارات,rathena-master/npc/battleground/bg_common.txt,تحقق دون تعديل: itemInfo.lua وسجل المهام والملاحة وملفات تييرا وفلافيوس وKVM,مكتمل,129,المرحلة_122
123,ساحات القتال,ساحة فلافيوس الأولى: الكريستالات والحراس والجولات والمكافآت,rathena-master/npc/battleground/flavius/flavius01.txt,rathena-master/npc/battleground/flavius/flavius02.txt,مكتمل,53,المرحلة_123
124,ساحات القتال,ساحة فلافيوس الثانية: توحيد الأسماء الظاهرة ومحرك الجولة الثانية,rathena-master/npc/battleground/flavius/flavius02.txt,تحقق دون تعديل: flavius01.txt وbg_common.txt وitemInfo.lua وسجل المهام,مكتمل,15,المرحلة_124
125,ساحات القتال,دخول فلافيوس: التجنيد وشروط المشاركة وشرح الكريستالات,rathena-master/npc/battleground/flavius/flavius_enter.txt,rathena-master/npc/battleground/tierra/tierra_enter.txt,مكتمل,148,المرحلة_125
126,ساحات القتال,ساحة KVM للمستويات 80–99 وإعلانات المعركة ونقاط المكافآت,rathena-master/npc/battleground/kvm/kvm01.txt,rathena-master/npc/battleground/kvm/kvm02.txt | rathena-master/npc/battleground/kvm/kvm03.txt,مكتمل,94,المرحلة_126
127,ساحات القتال,ساحة KVM للمستويات 1–59 — مراجعة مستقلة وتثبيت النصوص,rathena-master/npc/battleground/kvm/kvm02.txt,تحقق دون تعديل: kvm01.txt وkvm03.txt وkvm_item_pay.txt وسجل المهام وbg_common.txt,مكتمل,0,المرحلة_127
128,ساحات القتال,ساحة KVM للمستويات 60–80 — مراجعة مستقلة وتثبيت النصوص,rathena-master/npc/battleground/kvm/kvm03.txt,تحقق دون تعديل: kvm01.txt وkvm02.txt وkvm_item_pay.txt وسجل المهام وbg_common.txt,مكتمل,0,المرحلة_128
129,ساحات القتال,مدخل KVM: ضباط المرتزقة وشرح النظام والتسجيل ونقاط KVM,rathena-master/npc/battleground/kvm/kvm_enter.txt,تحقق دون تعديل: kvm01.txt وkvm02.txt وkvm03.txt وkvm_item_pay.txt وسجل المهام,مكتمل,70,المرحلة_129
130,ساحات القتال,متجر مكافآت KVM والكتالوج وفئات المعدات والأسعار,rathena-master/npc/battleground/kvm/kvm_item_pay.txt,data/book/11017.txt,مكتمل,158,المرحلة_130
131,ساحات القتال,وادي تييرا الأول: مستودعات المؤن والحواجز والراية المحايدة,rathena-master/npc/battleground/tierra/tierra01.txt,rathena-master/npc/battleground/tierra/tierra02.txt,مكتمل,140,المرحلة_131
