//===== rAthena Script =======================================
//= Quest NPCs related to Ayothaya
//===== By ===================================================
//= Fredzilla, MasterOfMuppets
//===== Version ==============================================
//= 2.6
//===== Compatible With ======================================
//= rAthena Project
//===== Description ==========================================
//= [Official Conversion]
//= Ayothaya Ring Quest
//= Ayothaya Dungeon Quest
//= Tom Yum Goong Quest
//===== Comments =============================================
//= 1.0 First Release, made with infomation from RagnaInfo
//= 1.1 Added anti-novice protection [Lupus]
//= 1.3 Fixed exploit [Lupus]
//= 1.4 Updated, more close to the official. Thanks to birkiczd
//=     Also optimized it again, remove unused global variable [Lupus]
//= 1.5 Removed Duplicates [Silent]
//= 1.6 Moved quests from cities/ to here:
//=     Shrimp, Dungeon, Tom Yum Goong [Evera]
//= 1.7 Updated the Ayothaya Ring quest to the official one [MasterOfMuppets]
//= 1.8 Fixed experience gains to match upcoming rate adjustments. [SinSloth]
//= 1.9 Corrected NPC names to fall within proper restrictions. [L0ne_W0lf]
//= 2.0 Rescripted Tom Yum Goong and Dungeon quest to Aegis [L0ne_W0lf]
//=     10.3 standards.
//= 2.0a Corrected a Typo error ";;". [Samuray22]
//= 2.1 Added missing checkweights. [L0ne_W0lf]
						mes "لا لا، هذا لا يعني أنني مهتمة بك. بالإضافة إلى أنني";
						mes "مخطوبة بالفعل.";
					} else
						mes "قبل أن تسيء الفهم، أعني أن بيننا قدرا كبيرا من التشابه.";
					next;
					mes "[شودا]";
					mes "دعني أعرفك بنفسي.";
					mes "اسمي شودا، وقد عشت في أيوثايا طوال حياتي. وبما أنه ليس لديك ما تفعله، لدي";
					mes "خدمة أطلبها منك.";
					next;
					mes "[شودا]";
					mes "خطيبي أنون يهتم دائما بأشياء غيري. لا أفهم السبب، ولا أظن أنني أستحق أن أتجاهل!";
					next;
					mes "[شودا]";
					mes "^666666*تنهد...*^000000";
					mes "على أي حال، نحن مخطوبان";
					mes "وقد حصل كل منا على خاتم للآخر...";
					next;
					mes "[شودا]";
					mes "ظننت أن الخطوبة ستحسن علاقتنا. لكنه أخذ خاتمي ورماه في الماء.";
					next;
					mes "[شودا]";
					mes "انزعجت وصرخت عليه ليعيد خاتمي إلي، ثم";
					mes "لم أره بعد ذلك أبدا.";
					mes "لذا ما أريد طلبه هو...";
					next;
					mes "[" +strcharinfo(0)+ "]";
					mes "تريدين مني";
					mes "أن أجد";
					mes "خاتمك، أليس كذلك؟";
					next;
					mes "[شودا]";
					mes "آه...";
					mes "إذن أنت تعرف";
					mes "ما أريد.";
					mes "هذا يجعل الأمر";
					mes "أبسط بكثير.";
					next;
					mes "[شودا]";
					mes "وعندما أستعيد";
					mes "الخاتم، سأجعله";
					mes "يأخذني في عطلة";
					mes "مستحقة إلى جاواي...";
					next;
					mes "[شودا]";
					mes "...حيث سأقوم";
					mes "^660000باستعباده^000000.";
					mes "^666666*تطحن أسنانها*^000000";
					next;
					emotion ET_SURPRISE, playerattached();
					mes "[" +strcharinfo(0)+ "]";
					mes "(...م... مخيف!)";
					next;
					mes "[شودا]";
					mes "على أي حال، أريدك أن تخرج وتجد خاتم خطوبتي. بما أن الماء هادئ وساكن هنا، فغالبا لا يزال الخاتم تحت الماء، ولم يجرفه التيار بعد.";
					next;
					mes "[شودا]";
					mes "وهكذا، هذه هي مهمتي لك. يجب أن تبقيك مستمتعا لبعض الوقت. ادخل إلى الماء، وسأشرف عليك من هنا.";
					mes "أوهو هو هو هو هو!";
					emotion ET_SMILE;
					set thai_find,1;
					close;
				case 2:
					mes "[شودا]";
					mes "^666666*تنهد...*^000000";
					mes "هل ستكتفي بالتحديق";
					mes "ولا تساعد إطلاقا؟ ظننت أن كلمة مغامر مرادفة";
					mes "لكلمة 'بطل'، وليس 'كسول'.";
					next;
					mes "[شودا]";
					mes "آه فهمت...";
					mes "أنت لا تساعد الغرباء، أليس كذلك؟";
					mes "حسنا، اسمي شودا، فتاة جميلة تنتظر خاتم خطوبتها ليظهر من الماء.";
					next;
					mes "[شودا]";
					mes "ها قد تم الأمر...!";
					mes "لم نعد";
					mes "شخصين غريبين بعد الآن!";
					mes "أوهو هو هو هو هو!";
					next;
					mes "[شودا]";
					mes "ألا تشفق علي وعلى وضعي المأساوي؟ لو ساعد أحد هذه العذراء الغالية في العثور على خاتمها، لأصبحت أسعد عروس في العالم كله.";
					next;
					mes "[شودا]";
					mes "ومنقذها";
					mes "سيعرف باسم";
					mes "بطل أيوثايا.";
					next;
					mes "[" +strcharinfo(0)+ "]";
					mes " ...ماذا قلت؟!";
					next;
					mes "[شودا]";
					mes "ببساطة، ستجد خاتم خطوبتي، وسأصبح أسعد عروس في العالم كله وسأعيش بسعادة إلى الأبد. ما الصعب في فهم";
					mes "ذلك؟";
					next;
					mes "[شودا]";
					mes "صحيح أن أنون، خطيبي، ضعيف شخصية ويختفي كلما";
					mes "قلت شيئا قاسيا قليلا. يا له من طفل صغير! ألا يرى أنني أحاول جعله رجلا أفضل؟!";
					next;
					mes "[" +strcharinfo(0)+ "]";
					mes "لقد هرب";
					mes "منك، أليس كذلك؟";
					next;
					mes "[شودا]";
					mes "إيه...؟";
					mes "ماذا قلت؟";
					next;
					mes "["+strcharinfo(0)+"]";
					mes "^666666*أحم*^000000";
					mes "أنت أفضل";
					mes "منه بكثير.";
					mes "(كنت سأهرب بنفسي!)";
					next;
					mes "[شودا]";
					mes "نعم، نعم، أعرف.";
					mes "لكن المهم";
					mes "أنه بمجرد أن أستعيد خاتمي، سيصبح أنون ملكي إلى الأبد. حتى ^660000يفرقنا الموت^000000.";
					next;
					mes "[شودا]";
					mes "إذن، هل ستساعدني";
					mes "أم ماذا؟!";
					mes "إذا فعلت، فسنسمي أنا وأنون أول سبعة أطفال لنا باسمك.";
					next;
					mes "[شودا]";
					mes "اذهب وابحث تحت الماء! لا يوجد تيار مائي، لذا أنا متأكدة أنه لا يزال هناك! ماذا تنتظر؟ يجب أن تكون سباحة سهلة بالنسبة لك! أوهو هو هو هو هو!";
					if (checkquest(12029) == -1)
						setquest 12029;
					set thai_find,1;
					close;
				}
			break;
			}
		} else {
			mes "[شودا]";
			mes "^666666*تنهد...*^000000";
			mes "لماذا لا يخرج من الماء؟ ربما لو حركت الماء بعصا خشبية...؟";
			next;
			mes "[شودا]";
			mes "...؟!";
			mes "إلى ماذا";
			mes "تنظر؟!";
			mes "أنا مشغولة، لذا إذا";
			mes "كنت تريد شيئا";
			mes "فلن أستطيع مساعدتك!";
			next;
			mes "[شودا]";
			mes "^666666سياح أغبياء، يركضون";
			mes "في كل أنحاء أيوثايا،";
			mes "يزعجون ويضايقون";
			mes "الفتيات الجميلات مثلي...^000000";
			close;
		}
	}

OnTouch_:
	if (thai_find == 0) {
		mes "[شودا]";
		mes "^666666*تنهد...*^000000";
		mes "أين";
		mes "هو بحق الجحيم؟!";
		next;
		mes "[شودا]";
		mes "إلى ماذا";
		mes "تنظر؟";
		mes "ألم تر من قبل فتاة رقيقة تتنهد؟ اتركني وشأني بحق الجحيم!";
		close;
	}
}

ayo_dun02,91,263,0	script	#Annonblood	111,2,3,{
if (!$@annonactive) {
	if (thai_find == 13) {
		mes "["+strcharinfo(0)+"]";
		mes "بقعة دم؟";
		mes "ماذا يحدث؟";
		mes "يجب أن ألقي نظرة...";
		next;
		mes "^3355FFتحت شجرة عملاقة،";
		mes "تجد بعض الشجيرات وعلى";
		mes "بعض أوراقها";
		mes "آثار دم ملطخة.^000000";
		next;
		mes "^3355FFداخل الشجيرات، ترى";
		mes "أن أثر الدم يستمر، كما لو أن حيوانا ينزف كافح ليجد ملاذا داخل";
		mes "الشجيرات.^000000";
		next;
		mes "[" +strcharinfo(0)+ "]";
		mes "هممم....";
		next;
		switch(select("بعثر الشجيرات.:احفر الشجيرات.")) {
		case 1:
			if (!rand(0,2)) {
				mes "[" +strcharinfo(0)+ "]";
				mes "^666666*كح كح*^000000";
				mes "إنه مغبر جدا!";
				next;
				mes "[؟]";
				mes "...آآآه";
				mes "أوه... يا إلهي...!";
				next;
				emotion ET_SURPRISE, playerattached();
				mes "[" +strcharinfo(0)+ "]";
				mes "هاه...؟";
				mes "سمعت شيئا";
				mes "من الأسفل! هيا";
				mes "نحفره!";
				next;
				mes "^3355FFتقتلع الشجيرات،";
				mes "^3355FFوتجد تحت الغبار";
				mes "^3355FFوالأغصان";
				mes "جحرا صغيرا.^000000";
				next;
				set $@annonactive,1;
				enablenpc "Haggard Man";
				mes "[أنون]";
				mes "^666666*كح كح!*^000000";
				mes "م... من هناك؟";
				mes "شودا؟! إذا كنت أنت،";
				mes "ابتعدي، وإلا سأقتل نفسي!";
				emotion ET_HUK, playerattached();
				next;
				switch(select("ماذا تفعل هنا؟:أنا لست شودا!")) {
				case 1:
					mes "["+strcharinfo(0)+"]";
					mes "مهلا...";
					mes "ماذا تفعل--";
					next;
					set $@annonactive,0;
					disablenpc "Haggard Man";
					mes "^3355FFلقد اختفى!^000000";
					close;
				case 2:
					mes "[أنون]";
					mes "هممم...؟";
					mes "أشعر باللطف والصدق وحب عام للبشرية في صوتك. حقا، أنت لست شودا.";
					next;
					mes "[أنون]";
					mes "أنت شخص غريب، أيها المتطفل. لا أدري كيف وجدت مخبئي، لكن اختصر ما تريد قوله!";
					close;
				}
			} else {
				mes "^3355FFتحفر الشجيرات، مثيرا";
				mes "سحابة كبيرة خانقة من الغبار.^000000";
				next;
				mes "["+strcharinfo(0)+"]";
				mes "^666666*كح كح!*^000000";
				mes "يا لها من سحابة";
				mes "كبيرة وخانقة";
				mes "من الغبار!";
				close;
			}
		case 2:
			mes "^3355FFبينما تحفر الشجيرات، تنهار الأرض تحت إحدى الشجيرات وتسمع صرخة";
			mes "من الأسفل.^000000";
			next;
			if (!rand(0,2)) {
				set $@annonactive,1;
				enablenpc "Haggard Man";
				mes "[؟]";
				mes "^666666*كح كح*^000000";
				mes "...س... ساقاي!";
				close;
			} else {
				mes "[" +strcharinfo(0)+ "]";
				mes "هممم...؟";
				mes "ما كان ذلك الصوت؟";
				mes "أوف، المكان مغبر جدا.";
				mes "من الأفضل أن أتوقف عن الحفر.";
				mes "^666666*كح كح كح*^000000";
				close;
			}
		}
	} else if (thai_find == 14) {
		mes "^3355FFتجد أن الجحر فارغ. يبدو أن أنون وجد مخبأ جديدا.^000000";
		close;
	} else {
		mes "^3355FFتجد كومة من الشجيرات الميتة تحت شجرة كبيرة. تبدو المنطقة حول الشجيرات مغبرة جدا.^000000";
		close;
	}

OnTouch_:
	if (thai_find == 12) {
		if (!rand(0,2)) {
			emotion ET_SURPRISE, playerattached();
			mes "[" +strcharinfo(0)+ "]";
			mes "هاه...؟";
			next;
			mes "["+strcharinfo(0)+"]";
			mes "هذا يبدو";
			mes "مثل الدم!";
			next;
			mes "["+strcharinfo(0)+"]";
			mes "همم...";
			mes "نعم...";
			mes "هذا دم بالتأكيد.";
			next;
			mes "["+strcharinfo(0)+"]";
			mes "من الغريب رؤية";
			mes "بقعة دم في";
			mes "مكان كهذا...";
			set thai_find,13;
			changequest 12033,12034;
			close;
		}
	}
}

}

ayo_dun02,91,264,3	script	أنون::Haggard Man	841,{
	//completequest 12034;
	if (thai_find == 13) {
		mes "[أنون]";
		mes "^666666*...كح كح*^000000";
		mes "لا...! مخبئي!";
		next;
		mes "[أنون]";
		mes "هممم...؟";
		mes "أنا أنزف؟!";
		mes "أوه، كيف حدث هذا؟";
		mes "لم يكن من المفترض أن يسير تدريبي الروحي هكذا...!";
		next;
		switch(select("عالج جرحه أولا.:هل أنت أنون؟")) {
		case 1:
			mes "[" +strcharinfo(0)+ "]";
			mes "على أي حال، أظن أنك تحتاج إلى علاج. دعني أتحقق إن كان لدي بعض الجرعات.";
			next;
			if (countitem(504)) {
				mes "["+strcharinfo(0)+"]";
				mes "آه...";
				mes "ها هي،";
				mes "جرعة بيضاء.";
				delitem 504,1; //White_Potion
				next;
				mes "[أنون]";
				mes "تقصد الجرعة البيضاء،";
				mes "أفضل شراب للشفاء؟";
				mes "أقدر لك هذا المعروف. ^666666*فيوه*^000000 أشعر الآن بتحسن كبير.";
				next;
				mes "[أنون]";
				mes "آه، أعتذر لأنني لم أعرفك بنفسي سابقا.";
				mes "اسمي أنون. لا بد أنك تتساءل عما أفعله";
				mes "هنا تحت الأرض.";
				next;
				mes "[أنون]";
				mes "إنني أؤدي تمرينا خاصا ضمن تدريبي الروحي، وإن كان تصديق ذلك صعبا.";
				next;
				mes "[أنون]";
				mes "ماذا...؟";
				mes "شودا أرسلتك؟! حسنا...";
				mes "أشكرك على علاجي. والآن، حان وقت استئناف تدريبي.";
				next;
				mes "[" +strcharinfo(0)+ "]";
				specialeffect EF_CLOAKING;
				mes "انتظر، لن أدعك تذهب! لا تعرف كم تعبت حتى عثرت عليك، فلا يمكنك الرحيل هكذا!";
				next;
				mes "[أنون]";
				mes "هم؟ ماذا تريد إذن؟ أرجوك ألا تخبر شودا أنك عثرت علي. مهما حدث، لن أعود إليها!";
				next;
				mes "[أنون]";
				mes "إيه...؟";
				mes "هل وجدت";
				mes "خاتمها؟";
				mes "أوه، كنت آمل ألا";
				mes "يعثر عليه أبدا.";
				next;
				mes "[أنون]";
				mes "لا بد أنها أخبرتك أنني هربت خجلا لأنني أضعت الخاتم، وأنني سأعود سعيدا إن استعادته، أليس كذلك؟";
				next;
				mes "[أنون]";
				mes "حسنا...";
				mes "أنا رميت";
				mes "ذلك الخاتم عمدا!";
				mes "أنا جاد في عدم";
				mes "العودة إلى شودا.";
				next;
				mes "[أنون]";
				mes "يبدو أنك تريد معرفة المزيد. إذا وعدتني أنك لن تذكر مكان وجودي";
				mes "لشودا، فسأشرح لك.";
				next;
				switch(select("هل تظن أن العالم يدور حولك؟:ماذا تريدني أن أفعل؟")) {
				case 1:
					mes "[" +strcharinfo(0)+ "]";
					mes "هل تظن أن العالم";
					mes "يدور حولك؟";
					mes "لا يمكنك أن تهرب هكذا!";
					next;
					mes "[أنون]";
					mes "أوه، أعرف، أعرف!";
					mes "لكنك لا تفهم. لا شك أن شودا جميلة.";
					next;
					mes "[أنون]";
					mes "لكن والدينا رتبا زواجنا عندما كنا طفلين.";
					mes "هذا النوع من الترتيبات لا يهمني، لكنها تهتم به بوضوح.";
					next;
					mes "[أنون]";
					mes "بكل صدق، إنها تخيفني";
					mes "حتى الموت. كلما كنت معها،";
					mes "لا أستطيع منع نفسي من التعرق خوفا. وعندما تكون قريبة، تراودني كوابيس عنها. ^666666*بررر...*^000000";
					next;
					mes "[أنون]";
					mes "ترى أن صعقي بالكهرباء أمر مضحك، وتربطني في";
					mes "غرفة مظلمة وتطعمني جيلوبي فقط كلما لم أستمع إليها. هل ترى الآن لماذا أشتاق إلى الحرية؟";
					next;
					mes "[أنون]";
					mes "إن أخفيت عنها أنك عثرت علي، فسأرد لك الجميل. تظاهر بأنك لم تجدني، اتفقنا؟";
					next;
					select("...حسنا، حسنا.");
					mes "[أنون]";
					mes "شكرا جزيلا لك!";
					mes "والآن، لأرد لك الجميل، دعني أستخدم إحدى المهارات التي تعلمتها في تدريبي الروحي.";
					break;
				case 2:
					mes "[أنون]";
					mes "كل ما أطلبه هو أن تكتم أمري عن شودا. انس أنك قابلتني، وأخبرها أن العثور علي كان مستحيلا.";
					next;
					mes "[أنون]";
					mes "إلى جانب ذلك، حتى لو ساعدتها، فكل ما ستفعله هو عرض تسمية أطفالها باسمك. والآن... هل تريد ذلك حقا؟ أنا متأكد أنني وهي لن ننجب أطفالا. الشر في العالم يكفي.";
					next;
					mes "[أنون]";
					mes "والآن، لا بد أنك تتساءل";
					mes "كيف سأكافئك على صمتك. حسنا، دعني أريك إحدى المهارات التي تعلمتها في تدريبي الروحي.";
					break;
				}
				next;
				mes "[أنون]";
				mes "دعني أرى...";
				mes "دعني ألوي";
				mes "ذراعك بهذه الطريقة،";
				mes "وأضغط هنا...";
				next;
				mes "[" +strcharinfo(0)+ "]";
				mes "واااه~!";
				mes "ما الذي";
				mes "تفعله بحق الجحيم!";
				mes "أنت تؤلمني يا رجل!";
				next;
				mes "[أنون]";
				mes "أوه، هذا نوع خاص";
				mes "من التدليك. لا تقلق، فهو";
				mes "يخلصك من التعب. إنه سماوي حقا. سترى~";
				next;
				mes "^3355FF*طقطقة طقطقة طقطقة*";
				mes "*طقطقة طقطقة طقطقة*";
				mes "*كراك كراك كراك*";
				mes "*كراك كراك كراك*^000000";
				next;
				mes "^3355FFتشعر وكأن أنون";
				mes "أعاد ترتيب كل عظمة في هيكلك العظمي ووضعها في مكانها الصحيح. والغريب أنك تشعر براحة وانتعاش شديدين بدلا من ألم لا يطاق.";
				set thai_find,14;
				completequest 12034;
				if (checkre(3)) {
					if (BaseLevel < 56) getexp 900,0;
					else if (BaseLevel > 55 && BaseLevel < 61) getexp 1050,0;
					else if (BaseLevel > 60 && BaseLevel < 66) getexp 1868,0;
					else if (BaseLevel > 65 && BaseLevel < 71) getexp 2741,0;
					else if (BaseLevel > 70 && BaseLevel < 76) getexp 7075,0;
					else if (BaseLevel > 75 && BaseLevel < 81) getexp 13024,0;
					else if (BaseLevel > 80 && BaseLevel < 86) getexp 15034,0;
					else if (BaseLevel > 85 && BaseLevel < 91) getexp 18205,0;
					else getexp 40678,0;
				} else {
					if (BaseLevel < 56) getexp 9000,0;
					else if (BaseLevel > 55 && BaseLevel < 61) getexp 10500,0;
					else if (BaseLevel > 60 && BaseLevel < 66) getexp 18684,0;
					else if (BaseLevel > 65 && BaseLevel < 71) getexp 27411,0;
					else if (BaseLevel > 70 && BaseLevel < 76) getexp 70757,0;
					else if (BaseLevel > 75 && BaseLevel < 81) getexp 130246,0;
					else if (BaseLevel > 80 && BaseLevel < 86) getexp 150340,0;
					else if (BaseLevel > 85 && BaseLevel < 91) getexp 182052,0;
					else getexp 406786,0;
				}
				next;
				mes "[" +strcharinfo(0)+ "]";
				mes "واو...؟";
				mes "كان ذلك رائعا~";
				mes "بل أشعر حتى أن عقلي";
				mes "قد تطهر أيضا!";
				mes "اتفقنا!";
				next;
				mes "[أنون]";
				mes "شكرا، شكرا جزيلا لك.";
				mes "الآن أستطيع تجنب الارتباط بشودا، على الأقل لفترة أطول قليلا.";
				next;
				mes "[أنون]";
				mes "والآن، إن سمحت لي،";
				mes "يجب أن أنسحب";
				mes "قبل أن يجدني الآخرون.";
				mes "طاب يومك~!";
				close2;
				set $@annonactive,0;
				disablenpc "Haggard Man";
				end;
			} else {
				mes "[" +strcharinfo(0)+ "]";
				mes "لا، لا يمكن.";
