الملف,السطر السابق,السطر الحالي,قبل,بعد,الفئة,السبب
rathena-master/npc/other/gm_npcs.txt,36,36,	//  0: incorrect input,	//  0: الإدخال غير صحيح,تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,37,37,	// -1: zero/cancel (integer only),	// -1: صفر/إلغاء (للأرقام فقط),تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,38,38,	// -2: out of bounds (integer only),	// -2: خارج النطاق (للأرقام فقط),تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,40,40,		// Integer password,		// كلمة مرور رقمية,تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,52,52,		// String password,		// كلمة مرور نصية,تعريب التوثيق الإداري,تعريب شرح إعدادات الحماية وكلمات المرور وقيم الإرجاع دون تغيير الدالة أو منطقها
rathena-master/npc/other/gm_npcs.txt,59,59,List of GM Management NPCs (incomplete),قائمة شخصيات إدارة GM (غير مكتملة),تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,61,61,[ Battleground ],[ ساحات القتال ],تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,68,68,[ Guild-related ],[ ما يتعلق بالنقابات ],تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,75,75,- Investment_total#fund00 (RE),- Investment_total#fund00 (التجديد),تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,77,77,[ Instances ],[ المثيلات ],تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,78,78,------ Endless Tower -----,------ برج اللانهاية -----,تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,89,89,- Bakonawa's Rage (RE),- Bakonawa's Rage (التجديد),تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,90,90,- Bangungot Gate (RE),- Bangungot Gate (التجديد),تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,91,91,- Horror Toy Factory (RE),- Horror Toy Factory (التجديد),تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,92,92,- Faceworm's Nest (RE),- Faceworm's Nest (التجديد),تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,93,93,- Central Laboratory (RE),- Central Laboratory (التجديد),تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,94,94,- Morse's Cave (RE),- Morse's Cave (التجديد),تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,96,96,[ Job-related ],[ ما يتعلق بالوظائف ],تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,97,97,----- 3rd Class (RE) -----,----- الوظائف الثالثة (التجديد) -----,تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,113,113,- Job Repair (RE),- Job Repair (التجديد),تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,115,115,[ Quest ],[ المهام ],تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,116,116,--------- Renewal --------,--------- التجديد --------,تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,143,143,- Morocc Invasion Manager (disabled),- Morocc Invasion Manager (معطل),تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,145,145,[ Other ],[ أخرى ],تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,146,146,-------- Marriage --------,-------- الزواج --------,تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,150,150,------ Izlude Arena ------,------ حلبة إزلود ------,تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,160,160,- Vote Globalvar Girl#yuno (disabled),- Vote Globalvar Girl#yuno (معطل),تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
rathena-master/npc/other/gm_npcs.txt,161,161,"- 2013questreset2#xmas (event, disabled)",- 2013questreset2#xmas (حدث، معطل),تعريب القائمة المرجعية,تعريب عناوين الأقسام وحالات التجديد والتعطيل مع الحفاظ على أسماء NPC الداخلية كما هي
